target_name	group
Pf3D7_08_v3-1375237-1375418	HRP2_P4
Pf3D7_13_v3-2814630-2814826	HRP3_P34
Pf3D7_13_v3-2816333-2816526	HRP3_P34
Pf3D7_14_v3-0293607-0293796	PM
Pf3D7_14_v3-0294537-0294730	PM
Pf3D7_14_v3-0297615-0297824	PM
Pf3D7_14_v3-0298400-0298603	PM
Pf3D7_05_v3-0958105-0958317	MDR1
Pf3D7_05_v3-0958394-0958580	MDR1
Pf3D7_05_v3-0961543-0961730	MDR1
Pf3D7_08_v3-1386821-1387013	HRP2_P34
Pf3D7_05_v3-0959211-0959413	MDR1
Pf3D7_08_v3-1378023-1378202	HRP2_P34
Pf3D7_08_v3-1382263-1382472	HRP2_P34
Pf3D7_07_v3-0403507-0403717	CRT
